climate,date,max_temp,min_temp,site,wind
阴,,31℃,14℃,德州,北风 3级
雾,2020年3月1日,11℃,-2℃,德州,东南风 微风
阴,,31℃,14℃,德州,北风 3级
阴,2020年3月2日,12℃,1℃,德州,西南风 3级
晴,2020年3月3日,10℃,-3℃,德州,东北风 2级
多云,2020年3月4日,7℃,-4℃,德州,东南风 1级
晴,2020年3月5日,12℃,3℃,德州,东南风 2级
多云,2020年3月6日,16℃,4℃,德州,西南风 2级
雾,2020年3月7日,15℃,2℃,德州,东南风 2级
雾,2020年3月8日,15℃,5℃,德州,东北风 1级
小雨,2020年3月9日,7℃,-2℃,德州,东北风 3级
多云,2020年3月10日,13℃,0℃,德州,东南风 2级
晴,2020年3月11日,18℃,7℃,德州,西南风 3级
多云,2020年3月12日,16℃,2℃,德州,东北风 4级
阴,2020年3月13日,11℃,1℃,德州,西南风 1级
晴,2020年3月14日,17℃,3℃,德州,西北风 2级
晴,2020年3月15日,20℃,2℃,德州,东南风 3级
多云,2020年3月16日,17℃,4℃,德州,西南风 3级
雾,2020年3月17日,22℃,9℃,德州,西南风 2级
晴,2020年3月18日,27℃,4℃,德州,西北风 3级
晴,2020年3月19日,17℃,10℃,德州,东南风 2级
晴,2020年3月20日,24℃,8℃,德州,东南风 2级
阴,2020年3月21日,20℃,2℃,德州,东北风 2级
晴,2020年3月22日,20℃,6℃,德州,东南风 2级
晴,2020年3月23日,22℃,10℃,德州,东南风 2级
阴,2020年3月24日,20℃,11℃,德州,东南风 1级
小雨,2020年3月26日,13℃,3℃,德州,东北风 1级
多云,2020年3月25日,22℃,9℃,德州,西南风 1级
阴,2020年3月27日,13℃,1℃,德州,西南风 1级
多云,2020年3月28日,14℃,3℃,德州,西南风 2级
阴,2020年3月29日,31℃,14℃,德州,北风 3级
阴,2020年3月30日,31℃,14℃,德州,北风 3级
阴,2020年3月31日,15℃,7℃,德州,东北风 1级
阴,2020年4月1日,13℃,7℃,德州,东南风 1级
多云,2020年4月2日,16℃,4℃,德州,西南风 2级
晴,2020年4月3日,21℃,5℃,德州,西南风 1级
多云,2020年4月4日,17℃,2℃,德州,东南风 3级
阴,2020年4月5日,19℃,8℃,德州,东南风 1级
多云,2020年4月6日,22℃,10℃,德州,西南风 2级
阴,2020年4月7日,19℃,5℃,德州,东北风 3级
中雨,2020年4月9日,6℃,3℃,德州,东北风 2级
多云,2020年4月8日,16℃,5℃,德州,东南风 2级
阴,2020年4月10日,12℃,4℃,德州,北风 微风
晴,2020年4月11日,20℃,6℃,德州,东南风 1级
晴,2020年4月12日,20℃,4℃,德州,东南风 2级
晴,2020年4月13日,23℃,11℃,德州,东南风 2级
阴,2020年4月14日,24℃,11℃,德州,东南风 2级
晴,2020年4月15日,24℃,12℃,德州,西南风 2级
阴,2020年4月16日,21℃,10℃,德州,北风 微风
晴,2020年4月17日,20℃,7℃,德州,东南风 1级
阴,2020年4月18日,20℃,10℃,德州,北风 微风
小雨,2020年4月19日,19℃,10℃,德州,西南风 3级
多云,2020年4月20日,21℃,3℃,德州,东北风 2级
晴,2020年4月21日,16℃,2℃,德州,东南风 2级
晴,2020年4月22日,16℃,3℃,德州,西北风 1级
晴,2020年4月23日,17℃,6℃,德州,西南风 1级
晴,2020年4月24日,25℃,12℃,德州,西南风 3级
晴,2020年4月25日,21℃,7℃,德州,东南风 3级
多云,2020年4月26日,21℃,7℃,德州,东南风 1级
晴,2020年4月27日,24℃,13℃,德州,西南风 1级
晴,2020年4月28日,26℃,16℃,德州,南风 2级
晴,2020年4月29日,28℃,17℃,德州,东南风 2级
晴,2020年4月30日,33℃,20℃,德州,东南风 2级
阴,,31℃,14℃,德州,北风 3级
晴,2020年5月1日,31℃,19℃,德州,南风 2级
晴,2020年5月2日,31℃,18℃,德州,东南风 1级
晴,2020年5月3日,32℃,11℃,德州,东北风 3级
阴,2020年5月4日,16℃,10℃,德州,东北风 1级
晴,2020年5月5日,24℃,9℃,德州,北风 1级
多云,2020年5月6日,26℃,15℃,德州,东风 2级
小雨,2020年5月7日,19℃,14℃,德州,东北风 1级
小雨,2020年5月8日,14℃,9℃,德州,东北风 3级
小雨,2020年5月9日,17℃,11℃,德州,西南风 2级
雾,2020年5月10日,26℃,13℃,德州,东北风 2级
晴,2020年5月12日,24℃,16℃,德州,南风 1级
小雨,2020年5月11日,24℃,12℃,德州,西南风 3级
多云,2020年5月13日,29℃,20℃,德州,南风 2级
阴,2020年5月14日,25℃,14℃,德州,东南风 1级
多云,2020年5月15日,26℃,16℃,德州,东风 2级
晴,2020年5月16日,26℃,17℃,德州,南风 1级
阴,2020年5月17日,31℃,14℃,德州,北风 3级
晴,2020年5月18日,22℃,12℃,德州,西南风 2级
晴,2020年5月19日,27℃,14℃,德州,南风 1级
晴,2020年5月20日,31℃,18℃,德州,东南风 1级
晴,2020年5月21日,32℃,16℃,德州,东南风 3级
晴,2020年5月22日,32℃,20℃,德州,东南风 2级
阴,2020年5月23日,26℃,15℃,德州,东北风 1级
阴,2020年5月25日,31℃,14℃,德州,北风 3级
阴,2020年5月26日,31℃,14℃,德州,北风 3级
,,,,德州,
多云,2019年1月1日,2℃,-8℃,聊城,北风 微风
多云,2019年1月2日,3℃,-8℃,聊城,东南风 1级
多云,2019年1月3日,5℃,-5℃,聊城,东南风 2级
多云,2019年1月4日,3℃,-5℃,聊城,东北风 3级
多云,2019年1月5日,3℃,-8℃,聊城,东南风 1级
晴,2019年1月6日,4℃,-7℃,聊城,东南风 1级
多云,2019年1月7日,4℃,-5℃,聊城,北风 微风
晴,2019年1月8日,2℃,-5℃,聊城,东北风 2级
阴,2019年1月9日,0℃,-5℃,聊城,东南风 2级
多云,2019年1月10日,2℃,-4℃,聊城,东南风 2级
多云,2019年1月11日,2℃,-5℃,聊城,西南风 1级
多云,2019年1月12日,5℃,-5℃,聊城,东南风 1级
雾,2019年1月13日,0℃,-5℃,聊城,东南风 2级
雾,2019年1月14日,3℃,-4℃,聊城,南风 微风
晴,2019年1月15日,0℃,-8℃,聊城,东北风 2级
晴,2019年1月16日,3℃,-7℃,聊城,西南风 1级
晴,2019年1月17日,7℃,-5℃,聊城,东南风 1级
阴,2019年1月18日,6℃,-1℃,聊城,东北风 1级
阴,2019年1月19日,4℃,-6℃,聊城,东北风 4级
多云,2019年1月20日,6℃,-6℃,聊城,西南风 1级
晴,2019年1月21日,7℃,-6℃,聊城,东南风 1级
晴,2019年1月22日,12℃,-6℃,聊城,东南风 1级
晴,2019年1月23日,14℃,-5℃,聊城,东北风 2级
晴,2019年1月24日,12℃,-1℃,聊城,东北风 1级
阴,2019年1月25日,6℃,-8℃,聊城,东北风 3级
晴,2019年1月26日,7℃,-4℃,聊城,西南风 1级
多云,2019年1月27日,7℃,-4℃,聊城,北风 微风
阴,2019年1月29日,9℃,-1℃,聊城,西南风 2级
阴,2019年1月28日,8℃,-1℃,聊城,东南风 2级
雨夹雪,2019年1月30日,5℃,-3℃,聊城,东北风 5级
阴,2019年1月31日,2℃,-6℃,聊城,东南风 1级
阴,2019年2月1日,8℃,-1℃,聊城,东南风 3级
多云,2019年2月2日,6℃,0℃,聊城,南风 微风
阴,2019年2月3日,8℃,-4℃,聊城,南风 微风
阴,2019年2月4日,13℃,-1℃,聊城,东南风 4级
多云,2019年2月5日,11℃,-3℃,聊城,西北风 2级
多云,2019年2月6日,1℃,-4℃,聊城,东北风 4级
阴,2019年2月7日,0℃,-5℃,聊城,东北风 4级
阴,2019年2月8日,-2℃,-5℃,聊城,西南风 2级
阴,2019年2月9日,0℃,-4℃,聊城,东北风 2级
阴,2019年2月10日,0℃,-4℃,聊城,西南风 3级
多云,2019年2月11日,6℃,-4℃,聊城,东南风 2级
阴,2019年2月12日,4℃,-3℃,聊城,北风 2级
阴,2019年2月13日,0℃,-2℃,聊城,东北风 3级
阴,2019年2月14日,-1℃,-6℃,聊城,西北风 2级
多云,2019年2月15日,0℃,-7℃,聊城,西北风 1级
多云,2019年2月16日,3℃,-6℃,聊城,西南风 微风
多云,2019年2月17日,6℃,-3℃,聊城,南风 微风
阴,2019年2月18日,3℃,-5℃,聊城,东南风 1级
雾,2019年2月19日,2℃,-5℃,聊城,南风 微风
雾,2019年2月20日,2℃,-4℃,聊城,西北风 2级
雾,2019年2月21日,6℃,-2℃,聊城,北风 微风
阴,2019年2月22日,11℃,-4℃,聊城,西北风 1级
晴,2019年2月23日,13℃,-1℃,聊城,南风 微风
多云,2019年2月24日,13℃,0℃,聊城,西南风 2级
多云,2019年2月25日,14℃,0℃,聊城,东南风 3级
阴,2019年2月26日,8℃,0℃,聊城,北风 微风
阴,2019年2月27日,12℃,1℃,聊城,东北风 1级
多云,2019年2月28日,14℃,2℃,聊城,东南风 2级
阴,,31℃,16℃,聊城,南风 1级
阴,,31℃,16℃,聊城,南风 1级
阴,,31℃,16℃,聊城,南风 1级
多云,2019年3月1日,13℃,4℃,聊城,南风 微风
阴,2019年3月2日,14℃,4℃,聊城,西南风 1级
阴,2019年3月3日,14℃,2℃,聊城,东南风 1级
多云,2019年3月4日,16℃,2℃,聊城,东南风 2级
阴,2019年3月5日,17℃,2℃,聊城,东北风 1级
晴,2019年3月6日,14℃,-3℃,聊城,东北风 4级
晴,2019年3月7日,12℃,0℃,聊城,东南风 1级
阴,2019年3月8日,14℃,4℃,聊城,东南风 2级
多云,2019年3月9日,15℃,2℃,聊城,东南风 1级
多云,2019年3月10日,17℃,2℃,聊城,西南风 2级
多云,2019年3月11日,17℃,4℃,聊城,东北风 1级
晴,2019年3月12日,12℃,-2℃,聊城,东南风 1级
晴,2019年3月13日,16℃,2℃,聊城,东南风 1级
晴,2019年3月14日,18℃,2℃,聊城,东北风 1级
晴,2019年3月15日,18℃,4℃,聊城,东南风 3级
晴,2019年3月16日,23℃,5℃,聊城,东北风 2级
晴,2019年3月17日,21℃,11℃,聊城,东南风 3级
阴,2019年3月18日,22℃,10℃,聊城,东南风 1级
阴,2019年3月19日,23℃,12℃,聊城,东南风 4级
阴,2019年3月20日,21℃,8℃,聊城,西南风 1级
多云,2019年3月21日,12℃,1℃,聊城,东北风 2级
晴,2019年3月22日,15℃,3℃,聊城,东南风 2级
晴,2019年3月23日,12℃,2℃,聊城,东南风 微风
晴,2019年3月24日,19℃,6℃,聊城,东南风 2级
晴,2019年3月25日,22℃,6℃,聊城,西南风 1级
多云,2019年3月26日,25℃,13℃,聊城,西南风 3级
阴,2019年3月27日,25℃,7℃,聊城,东北风 3级
阴,2019年3月28日,11℃,3℃,聊城,东北风 2级
多云,2019年3月29日,15℃,3℃,聊城,南风 微风
晴,2019年3月30日,13℃,-1℃,聊城,东南风 1级
晴,2019年3月31日,16℃,5℃,聊城,西南风 1级
晴,2019年4月1日,17℃,6℃,聊城,西南风 1级
晴,2019年4月2日,19℃,3℃,聊城,东北风 3级
晴,2019年4月3日,20℃,9℃,聊城,东南风 1级
晴,2019年4月4日,23℃,10℃,聊城,西南风 2级
晴,2019年4月5日,24℃,11℃,聊城,东南风 3级
多云,2019年4月6日,18℃,8℃,聊城,东北风 3级
多云,2019年4月7日,21℃,11℃,聊城,东北风 微风
阴,2019年4月8日,15℃,4℃,聊城,东北风 5级
阴,2019年4月9日,6℃,2℃,聊城,西北风 2级
多云,2019年4月10日,13℃,6℃,聊城,东南风 1级
阴,2019年4月11日,16℃,4℃,聊城,北风 微风
多云,2019年4月12日,16℃,11℃,聊城,西南风 3级
晴,2019年4月14日,21℃,8℃,聊城,西南风 1级
阴,2019年4月13日,20℃,8℃,聊城,北风 1级
晴,2019年4月15日,22℃,12℃,聊城,东南风 2级
阴,2019年4月16日,23℃,13℃,聊城,东南风 2级
晴,2019年4月17日,25℃,16℃,聊城,东北风 2级
扬沙,2019年4月18日,25℃,12℃,聊城,东北风 5级
阴,2019年4月19日,15℃,9℃,聊城,西北风 1级
阴,2019年4月20日,23℃,11℃,聊城,东北风 3级
阴,2019年4月21日,20℃,12℃,聊城,东北风 2级
阴,2019年4月22日,23℃,16℃,聊城,东南风 2级
阴,2019年4月23日,22℃,15℃,聊城,东南风 1级
多云,2019年4月24日,25℃,7℃,聊城,东北风 3级
阴,2019年4月25日,11℃,8℃,聊城,东北风 2级
多云,2019年4月26日,17℃,8℃,聊城,东北风 2级
多云,2019年4月27日,13℃,5℃,聊城,东南风 2级
阴,2019年4月28日,18℃,5℃,聊城,南风 微风
多云,2019年4月29日,20℃,12℃,聊城,东南风 1级
阴,2019年4月30日,24℃,10℃,聊城,东北风 2级
阴,,31℃,16℃,聊城,南风 1级
晴,2019年5月1日,26℃,9℃,聊城,南风 微风
晴,2019年5月2日,26℃,13℃,聊城,西南风 微风
多云,2019年5月3日,26℃,16℃,聊城,东南风 2级
阴,2019年5月4日,22℃,13℃,聊城,东南风 1级
阴,2019年5月5日,23℃,9℃,聊城,东北风 3级
阴,2019年5月6日,22℃,8℃,聊城,北风 微风
多云,2019年5月7日,22℃,16℃,聊城,东南风 1级
阴,2019年5月8日,20℃,11℃,聊城,南风 微风
晴,2019年5月9日,26℃,16℃,聊城,东北风 1级
阴,2019年5月10日,27℃,14℃,聊城,东南风 2级
多云,2019年5月11日,28℃,17℃,聊城,东南风 1级
阴,2019年5月12日,30℃,12℃,聊城,东北风 2级
阴,2019年5月13日,22℃,14℃,聊城,东南风 1级
晴,2019年5月14日,25℃,18℃,聊城,东北风 2级
阴,2019年5月15日,27℃,18℃,聊城,东北风 2级
多云,2019年5月16日,28℃,20℃,聊城,东南风 2级
多云,2019年5月17日,30℃,17℃,聊城,东南风 3级
阴,2019年5月18日,25℃,18℃,聊城,西南风 2级
多云,2019年5月19日,28℃,13℃,聊城,东北风 5级
晴,2019年5月20日,26℃,11℃,聊城,东北风 微风
晴,2019年5月21日,31℃,16℃,聊城,东南风 1级
晴,2019年5月22日,34℃,21℃,聊城,东北风 1级
晴,2019年5月23日,38℃,24℃,聊城,西南风 1级
多云,2019年5月24日,30℃,23℃,聊城,东南风 2级
晴,2019年5月25日,33℃,22℃,聊城,东南风 3级
中雨,2019年5月26日,32℃,22℃,聊城,西南风 1级
多云,2019年5月27日,26℃,18℃,聊城,北风 微风
阴,2019年5月28日,29℃,17℃,聊城,东南风 1级
晴,2019年5月29日,30℃,20℃,聊城,西北风 1级
阴,2019年5月30日,26℃,18℃,聊城,东南风 1级
晴,2019年5月31日,30℃,21℃,聊城,东南风 1级
阴,2019年6月1日,32℃,21℃,聊城,东北风 1级
多云,2019年6月2日,36℃,24℃,聊城,东南风 2级
阴,2019年6月4日,38℃,23℃,聊城,东南风 1级
多云,2019年6月3日,37℃,22℃,聊城,东北风 1级
阴,2019年6月5日,31℃,19℃,聊城,东北风 3级
阴,2019年6月6日,28℃,17℃,聊城,东北风 2级
多云,2019年6月7日,31℃,23℃,聊城,东南风 1级
阴,2019年6月8日,34℃,20℃,聊城,东南风 1级
晴,2019年6月9日,31℃,17℃,聊城,东北风 2级
晴,2019年6月10日,32℃,19℃,聊城,北风 微风
晴,2019年6月11日,34℃,23℃,聊城,东南风 1级
晴,2019年6月12日,36℃,22℃,聊城,东南风 2级
多云,2019年6月13日,34℃,23℃,聊城,东南风 2级
晴,2019年6月14日,35℃,23℃,聊城,东南风 微风
阴,2019年6月15日,36℃,25℃,聊城,南风 微风
多云,2019年6月16日,34℃,21℃,聊城,西北风 1级
多云,2019年6月17日,36℃,25℃,聊城,南风 微风
多云,2019年6月18日,35℃,25℃,聊城,东南风 1级
多云,2019年6月19日,35℃,27℃,聊城,东南风 1级
阴,2019年6月20日,33℃,23℃,聊城,东南风 1级
多云,2019年6月21日,33℃,22℃,聊城,东北风 4级
多云,2019年6月22日,34℃,22℃,聊城,东南风 1级
晴,2019年6月23日,35℃,24℃,聊城,东南风 1级
多云,2019年6月24日,35℃,23℃,聊城,东北风 1级
多云,2019年6月25日,33℃,23℃,聊城,东南风 2级
多云,2019年6月26日,34℃,23℃,聊城,南风 微风
多云,2019年6月27日,35℃,25℃,聊城,东南风 1级
多云,2019年6月29日,34℃,25℃,聊城,东南风 1级
中雨,2019年6月28日,22℃,20℃,聊城,北风 微风
晴,2019年6月30日,32℃,19℃,聊城,东北风 3级
阴,,31℃,16℃,聊城,南风 1级
晴,2019年7月1日,36℃,23℃,聊城,东北风 1级
晴,2019年7月2日,37℃,25℃,聊城,东南风 1级
晴,2019年7月3日,37℃,25℃,聊城,西北风 微风
阴,2019年7月4日,33℃,25℃,聊城,东南风 2级
晴,2019年7月5日,37℃,23℃,聊城,西南风 3级
小雨,2019年7月6日,27℃,20℃,聊城,东北风 2级
多云,2019年7月7日,29℃,20℃,聊城,东北风 3级
阴,2019年7月8日,31℃,22℃,聊城,东北风 3级
阴,2019年7月9日,28℃,20℃,聊城,东南风 1级
中雨,2019年7月10日,29℃,20℃,聊城,东南风 1级
多云,2019年7月11日,29℃,21℃,聊城,北风 微风
暴雨,2019年7月12日,32℃,21℃,聊城,东南风 2级
小雨,2019年7月13日,33℃,22℃,聊城,南风 微风
多云,2019年7月14日,35℃,25℃,聊城,东北风 微风
阴,2019年7月15日,36℃,26℃,聊城,东北风 2级
阴,2019年7月16日,34℃,26℃,聊城,东南风 1级
小雨,2019年7月17日,33℃,23℃,聊城,东南风 1级
晴,2019年7月18日,34℃,23℃,聊城,东南风 2级
阴,2019年7月19日,35℃,25℃,聊城,东北风 2级
多云,2019年7月20日,34℃,26℃,聊城,西北风 1级
多云,2019年7月21日,37℃,27℃,聊城,东南风 微风
多云,2019年7月23日,36℃,25℃,聊城,东北风 1级
阴,2019年7月22日,35℃,25℃,聊城,东南风 1级
晴,2019年7月24日,37℃,28℃,聊城,南风 微风
阴,2019年7月25日,34℃,27℃,聊城,东南风 1级
晴,2019年7月26日,37℃,27℃,聊城,东南风 1级
阴,2019年7月27日,35℃,26℃,聊城,东北风 1级
阴,2019年7月28日,35℃,27℃,聊城,东南风 2级
多云,2019年7月29日,36℃,24℃,聊城,东南风 1级
小雨,2019年7月30日,31℃,24℃,聊城,东南风 2级
阴,2019年7月31日,32℃,25℃,聊城,东南风 1级
阴,2019年8月1日,33℃,23℃,聊城,西南风 2级
大雨,2019年8月2日,28℃,22℃,聊城,东北风 1级
多云,2019年8月3日,32℃,24℃,聊城,东北风 2级
阴,2019年8月4日,32℃,24℃,聊城,南风 微风
多云,2019年8月5日,33℃,25℃,聊城,东南风 1级
阴,2019年8月6日,32℃,24℃,聊城,东北风 2级
中雨,2019年8月7日,30℃,23℃,聊城,东南风 2级
多云,2019年8月8日,32℃,25℃,聊城,北风 微风
阴,2019年8月9日,33℃,24℃,聊城,南风 微风
小雨,2019年8月10日,27℃,23℃,聊城,东北风 2级
中雨,2019年8月11日,23℃,22℃,聊城,西北风 4级
大雨,2019年8月12日,26℃,20℃,聊城,东北风 3级
多云,2019年8月13日,29℃,21℃,聊城,东北风 2级
多云,2019年8月14日,33℃,21℃,聊城,北风 微风
多云,2019年8月15日,33℃,24℃,聊城,西南风 2级
多云,2019年8月16日,29℃,19℃,聊城,东北风 2级
晴,2019年8月17日,31℃,17℃,聊城,北风 微风
晴,2019年8月18日,32℃,20℃,聊城,南风 微风
阴,2019年8月19日,31℃,20℃,聊城,东南风 1级
阴,2019年8月20日,29℃,23℃,聊城,西南风 2级
小雨,2019年8月21日,31℃,21℃,聊城,东北风 1级
多云,2019年8月22日,31℃,21℃,聊城,北风 微风
晴,2019年8月23日,32℃,21℃,聊城,北风 微风
阴,2019年8月24日,31℃,20℃,聊城,东北风 2级
小雨,2019年8月25日,25℃,21℃,聊城,东南风 1级
阴,2019年8月26日,26℃,21℃,聊城,西北风 1级
多云,2019年8月27日,30℃,20℃,聊城,西南风 微风
晴,2019年8月28日,34℃,18℃,聊城,西南风 1级
晴,2019年8月29日,30℃,17℃,聊城,西南风 1级
晴,2019年8月30日,30℃,16℃,聊城,北风 微风
晴,2019年8月31日,31℃,17℃,聊城,南风 微风
多云,2019年9月1日,30℃,19℃,聊城,东南风 微风
多云,2019年9月2日,31℃,18℃,聊城,南风 微风
多云,2019年9月3日,31℃,17℃,聊城,西南风 微风
多云,2019年9月4日,30℃,19℃,聊城,西南风 1级
多云,2019年9月5日,30℃,19℃,聊城,南风 微风
晴,2019年9月6日,31℃,18℃,聊城,东北风 1级
晴,2019年9月7日,32℃,20℃,聊城,北风 微风
晴,2019年9月8日,33℃,20℃,聊城,东北风 微风
晴,2019年9月9日,33℃,21℃,聊城,东南风 微风
阴,2019年9月10日,28℃,22℃,聊城,东北风 3级
阴,2019年9月11日,21℃,19℃,聊城,西北风 1级
阴,2019年9月12日,21℃,20℃,聊城,西北风 1级
阴,2019年9月13日,23℃,18℃,聊城,东北风 2级
多云,2019年9月14日,25℃,18℃,聊城,北风 微风
多云,2019年9月15日,23℃,16℃,聊城,东南风 微风
雾,2019年9月16日,26℃,17℃,聊城,东北风 2级
多云,2019年9月17日,25℃,14℃,聊城,南风 微风
晴,2019年9月18日,26℃,13℃,聊城,东北风 微风
阴,2019年9月19日,21℃,16℃,聊城,东北风 1级
多云,2019年9月20日,21℃,15℃,聊城,南风 微风
多云,2019年9月21日,27℃,14℃,聊城,东南风 1级
晴,2019年9月22日,27℃,13℃,聊城,北风 微风
晴,2019年9月23日,29℃,14℃,聊城,南风 微风
晴,2019年9月24日,31℃,15℃,聊城,南风 微风
阴,2019年9月25日,31℃,15℃,聊城,南风 微风
多云,2019年9月26日,30℃,16℃,聊城,北风 微风
多云,2019年9月27日,29℃,17℃,聊城,东南风 微风
晴,2019年9月28日,30℃,17℃,聊城,东南风 1级
晴,2019年9月29日,30℃,18℃,聊城,东南风 1级
晴,2019年9月30日,30℃,18℃,聊城,东北风 1级
阴,,31℃,16℃,聊城,南风 1级
晴,2019年10月1日,30℃,17℃,聊城,南风 微风
晴,2019年10月2日,30℃,16℃,聊城,北风 微风
多云,2019年10月3日,31℃,21℃,聊城,南风 微风
阴,2019年10月4日,21℃,11℃,聊城,东北风 4级
晴,2019年10月5日,19℃,10℃,聊城,东北风 2级
阴,2019年10月6日,13℃,7℃,聊城,东南风 1级
晴,2019年10月7日,21℃,10℃,聊城,西南风 1级
晴,2019年10月8日,22℃,12℃,聊城,北风 微风
阴,2019年10月9日,19℃,12℃,聊城,东南风 1级
小雨,2019年10月10日,17℃,13℃,聊城,北风 微风
阴,2019年10月11日,20℃,14℃,聊城,西北风 1级
晴,2019年10月12日,23℃,11℃,聊城,南风 微风
晴,2019年10月13日,23℃,12℃,聊城,东北风 4级
小雨,2019年10月14日,16℃,4℃,聊城,东北风 2级
晴,2019年10月15日,16℃,8℃,聊城,南风 微风
阴,2019年10月16日,13℃,9℃,聊城,东南风 1级
多云,2019年10月17日,18℃,9℃,聊城,南风 微风
晴,2019年10月18日,20℃,10℃,聊城,西南风 微风
多云,2019年10月19日,22℃,14℃,聊城,东南风 1级
阴,2019年10月20日,23℃,12℃,聊城,西北风 1级
晴,2019年10月21日,24℃,11℃,聊城,东北风 1级
多云,2019年10月22日,22℃,12℃,聊城,东南风 2级
多云,2019年10月23日,22℃,12℃,聊城,南风 微风
阴,2019年10月25日,16℃,3℃,聊城,东北风 1级
阴,2019年10月24日,22℃,8℃,聊城,西北风 2级
阴,2019年10月26日,17℃,6℃,聊城,东南风 1级
多云,2019年10月27日,20℃,10℃,聊城,东南风 1级
扬沙,2019年10月28日,20℃,4℃,聊城,东北风 2级
晴,2019年10月29日,21℃,8℃,聊城,东南风 1级
多云,2019年10月30日,23℃,8℃,聊城,西北风 微风
晴,2019年10月31日,25℃,8℃,聊城,北风 微风
阴,2019年11月1日,22℃,11℃,聊城,北风 微风
阴,2019年11月2日,22℃,13℃,聊城,东北风 1级
多云,2019年11月3日,16℃,6℃,聊城,东北风 3级
多云,2019年11月4日,17℃,5℃,聊城,西北风 1级
晴,2019年11月5日,19℃,7℃,聊城,东北风 1级
阴,2019年11月6日,18℃,8℃,聊城,南风 微风
雾,2019年11月7日,13℃,4℃,聊城,东北风 1级
晴,2019年11月8日,16℃,7℃,聊城,东南风 微风
多云,2019年11月9日,19℃,9℃,聊城,东南风 1级
晴,2019年11月10日,18℃,4℃,聊城,南风 微风
晴,2019年11月11日,20℃,10℃,聊城,南风 微风
多云,2019年11月12日,22℃,10℃,聊城,东南风 微风
晴,2019年11月13日,14℃,1℃,聊城,东北风 1级
晴,2019年11月14日,19℃,2℃,聊城,东南风 1级
晴,2019年11月15日,16℃,4℃,聊城,南风 微风
雾,2019年11月16日,11℃,9℃,聊城,东北风 2级
阴,2019年11月17日,11℃,-2℃,聊城,西北风 3级
多云,2019年11月18日,6℃,-1℃,聊城,东南风 2级
晴,2019年11月19日,11℃,1℃,聊城,南风 微风
多云,2019年11月20日,13℃,6℃,聊城,东南风 1级
阴,2019年11月21日,13℃,5℃,聊城,东南风 1级
晴,2019年11月22日,15℃,9℃,聊城,东南风 1级
阴,2019年11月23日,13℃,8℃,聊城,西北风 1级
阴,2019年11月24日,10℃,-3℃,聊城,东北风 5级
晴,2019年11月25日,5℃,-4℃,聊城,南风 微风
多云,2019年11月26日,6℃,-3℃,聊城,东北风 1级
阴,2019年11月27日,7℃,-4℃,聊城,东北风 3级
晴,2019年11月28日,6℃,-3℃,聊城,东南风 1级
多云,2019年11月29日,6℃,2℃,聊城,南风 微风
阴,2019年11月30日,8℃,0℃,聊城,东北风 3级
阴,,31℃,16℃,聊城,南风 1级
阴,2019年12月1日,8℃,-4℃,聊城,西南风 1级
晴,2019年12月2日,6℃,-4℃,聊城,东南风 1级
晴,2019年12月3日,10℃,-4℃,聊城,西北风 微风
晴,2019年12月4日,11℃,-4℃,聊城,东南风 1级
晴,2019年12月5日,7℃,-4℃,聊城,东北风 3级
晴,2019年12月6日,3℃,-4℃,聊城,西南风 2级
