,数据结构,操作系统,高等数学,软件工程,数据库原理,计算机网络,C语言程序设计,计算机导论,category
0,80,70.0,100,82,72,84,63.0,87.0,0
1,62,77.0,87,53,76,73,67.0,76.0,0
2,60,62.0,71,46,64,63,69.0,62.0,1
3,75,74.0,79,71,73,78,84.0,71.0,0
4,79,63.0,94,65,54,72,74.0,78.0,0
5,74,67.0,69,67,67,73,70.0,69.0,1
6,67,67.0,80,72,67,68,79.0,75.0,0
7,75,60.0,76,79,68,83,75.0,75.0,0
8,67,62.0,73,69,63,56,62.0,69.0,1
9,67,75.0,77,68,65,63,75.0,77.0,1
10,70,60.0,90,77,65,71,73.0,76.0,0
11,68,74.0,87,74,69,75,76.0,85.0,0
12,71,69.0,76,68,60,62,64.0,62.0,1
13,75,72.0,67,76,67,74,72.0,82.0,0
14,69,78.0,82,83,78,75,47.0,69.0,0
15,89,92.0,92,76,70,93,90.0,78.0,0
16,75,82.0,93,90,74,82,84.0,80.0,0
17,82,77.0,87,74,70,84,64.0,85.0,0
18,73,60.0,80,57,58,82,83.0,82.0,0
19,74,68.0,80,86,75,85,65.0,79.0,0
20,88,68.0,73,75,69,61,74.0,68.0,0
21,78,73.0,82,80,69,73,73.0,85.0,0
22,70,69.0,78,77,74,69,75.0,90.0,0
23,79,78.0,82,77,71,78,74.0,75.0,0
24,75,70.0,63,74,67,73,75.0,84.0,0
25,73,72.0,56,43,63,73,56.0,66.0,1
26,78,75.0,79,72,70,75,74.0,74.0,0
27,78,71.0,71,77,68,62,82.0,67.0,0
28,62,74.0,74,64,67,65,68.0,71.0,1
29,75,83.0,84,76,70,85,72.0,82.0,0
30,69,76.0,86,43,66,69,76.0,75.0,1
31,73,70.0,77,70,72,73,73.0,75.0,0
32,66,74.0,75,81,68,81,60.0,75.0,0
33,78,80.0,78,79,70,81,73.0,80.0,0
34,63,85.0,83,85,64,80,74.0,85.0,0
35,68,76.0,81,72,67,80,72.0,71.0,0
36,63,83.0,67,72,69,76,78.0,60.0,1
37,68,83.0,70,72,77,73,70.0,70.0,0
38,65,63.0,82,60,67,67,62.0,73.0,1
39,87,86.0,99,79,89,74,77.0,88.0,0
40,80,66.0,79,90,75,76,73.0,71.0,0
41,70,61.0,59,70,72,72,60.0,69.0,1
42,69,77.0,93,60,72,86,61.0,66.0,0
43,73,75.0,89,65,74,72,69.0,77.0,0
44,69,79.0,78,68,81,84,75.0,80.0,0
45,73,76.0,82,55,77,78,76.0,79.0,0
46,60,81.0,46,57,76,80,43.0,56.0,1
47,73,71.0,63,71,85,85,63.0,68.0,0
48,80,78.0,76,69,85,83,77.0,76.0,0
49,81,86.0,81,82,92,76,76.0,85.0,0
50,61,80.0,87,65,76,72,74.0,92.0,0
51,74,60.0,94,67,60,77,74.0,72.0,0
52,85,85.0,79,72,92,87,70.0,76.0,0
53,81,78.0,79,66,81,74,84.0,87.0,0
54,77,64.0,95,71,85,90,66.0,73.0,0
55,84,79.0,71,70,78,74,82.0,78.0,0
56,73,74.0,76,65,70,76,74.0,78.0,0
57,60,82.0,66,57,77,86,63.0,68.0,1
58,49,73.0,61,74,78,76,64.0,64.0,1
59,67,90.0,80,90,87,80,69.0,79.0,0
60,79,71.0,72,77,75,78,72.0,73.0,0
61,74,65.0,55,61,73,74,73.0,75.0,1
62,68,63.0,68,68,81,76,67.0,64.0,1
63,82,70.0,83,66,79,81,72.0,75.0,0
64,72,66.0,62,99,66,68,61.0,88.0,1
65,99,44.0,76,87,79,89,99.0,76.0,0
66,45,99.0,99,80,60,78,78.0,60.0,0
67,60,78.0,78,72,86,77,58.0,78.0,0
68,61,60.0,77,66,71,71,50.0,60.0,1
69,70,69.0,79,67,67,62,46.0,74.0,1
70,83,75.0,76,73,84,67,62.0,81.0,0
71,79,62.0,72,67,71,60,66.0,63.0,1
72,77,70.0,83,73,84,85,62.0,77.0,0
73,69,80.0,82,73,80,97,75.0,90.0,0
74,77,70.0,77,70,83,76,73.0,85.0,0
75,74,71.0,63,60,79,68,60.0,79.0,1
76,74,63.0,80,64,66,61,73.0,64.0,1
77,75,68.0,73,73,79,78,60.0,85.0,0
78,86,60.0,61,60,74,47,62.0,79.0,1
79,62,69.0,68,75,75,66,64.0,79.0,1
80,75,63.0,89,71,71,66,64.0,71.0,0
81,69,70.0,73,62,71,61,53.0,77.0,1
82,60,70.0,75,71,80,81,67.0,82.0,0
83,67,66.0,67,62,80,61,61.0,88.0,1
84,70,71.0,65,64,71,45,46.0,75.0,1
85,68,61.0,64,67,67,47,72.0,61.0,1
86,79,85.0,80,74,85,80,61.0,75.0,0
87,85,76.0,77,64,76,64,79.0,81.0,0
88,73,64.0,68,70,81,61,72.0,77.0,1
89,67,60.0,68,60,78,86,53.0,77.0,1
90,71,73.0,81,72,80,89,62.0,84.0,0
91,77,69.0,67,62,78,78,49.0,79.0,1
92,67,70.0,74,61,75,90,85.0,81.0,0
93,77,73.0,63,65,76,90,72.0,77.0,0
94,79,64.0,66,64,74,91,64.0,73.0,0
95,68,88.0,82,61,83,87,68.0,80.0,0
96,69,90.0,78,60,83,84,80.0,76.0,0
97,73,64.0,76,63,72,75,68.0,78.0,1
98,79,79.0,75,67,75,73,65.0,80.0,0
99,75,68.0,60,60,72,70,73.0,71.0,1
100,69,76.0,79,62,74,74,65.0,82.0,0
101,74,81.0,65,68,70,81,53.0,73.0,1
102,69,76.0,73,72,78,86,60.0,61.0,0
103,79,64.0,97,60,76,73,83.0,83.0,0
104,61,74.0,76,89,83,76,60.0,76.0,0
105,74,82.0,93,60,78,72,64.0,87.0,0
106,71,81.0,86,70,67,80,72.0,61.0,0
107,65,60.0,67,60,73,65,60.0,60.0,1
108,50,71.0,78,87,93,80,77.0,79.0,0
109,77,75.0,68,67,83,76,65.0,73.0,0
110,60,79.0,74,70,73,77,61.0,79.0,1
111,60,81.0,75,66,78,85,72.0,80.0,0
112,71,67.0,70,67,82,80,65.0,80.0,0
113,38,90.0,83,87,86,83,65.0,69.0,0
114,61,78.0,69,85,61,74,61.0,71.0,1
115,71,61.0,61,78,76,70,64.0,61.0,1
116,62,78.0,80,78,90,70,72.0,85.0,0
117,65,74.0,62,75,80,71,60.0,63.0,1
118,51,91.0,75,92,83,86,71.0,92.0,0
119,81,78.0,76,63,83,73,61.0,77.0,0
120,75,83.0,73,71,78,66,65.0,72.0,0
121,61,88.0,93,70,76,78,78.0,85.0,0
122,74,64.0,79,71,85,63,72.0,79.0,0
123,65,75.0,78,79,77,71,73.0,87.0,0
124,80,73.0,56,68,80,76,56.0,73.0,1
125,86,60.0,85,67,68,68,51.0,80.0,1
126,65,85.0,69,71,77,80,65.0,89.0,0
127,85,82.0,85,65,72,77,61.0,73.0,0
128,89,70.0,66,28,99,58,78.0,69.0,1
129,67,70.0,88,81,82,94,96.0,84.0,0
130,67,65.0,35,65,63,76,42.0,60.0,1
131,67,65.0,61,70,62,62,65.0,61.0,1
132,62,60.0,69,80,60,61,84.0,67.0,1
133,66,60.0,64,65,69,60,60.0,64.0,1
134,69,66.0,73,80,66,78,67.0,84.0,0
135,78,75.0,69,76,71,75,49.0,63.0,1
136,74,54.0,80,72,66,85,62.0,60.0,1
137,67,54.0,63,76,60,66,71.0,65.0,1
138,74,40.0,60,77,64,71,69.0,0.0,1
139,69,61.0,57,77,65,67,79.0,63.0,1
140,80,61.0,61,88,85,73,77.0,64.0,0
141,60,60.0,60,69,70,68,68.0,69.0,1
142,61,60.0,78,76,60,63,43.0,61.0,1
143,73,66.0,77,86,80,72,84.0,69.0,0
144,66,71.0,70,73,76,75,77.0,64.0,0
145,83,66.0,61,85,75,73,80.0,64.0,0
146,88,72.0,82,77,75,79,94.0,77.0,0
147,83,78.0,86,60,65,86,77.0,73.0,0
148,76,78.0,71,67,64,84,69.0,79.0,0
149,76,73.0,61,83,78,81,60.0,74.0,0
150,62,52.0,77,79,66,61,60.0,60.0,1
151,71,68.0,71,78,68,77,76.0,60.0,1
152,69,60.0,54,69,72,72,72.0,75.0,1
153,70,78.0,66,68,77,70,86.0,75.0,0
154,76,73.0,44,76,66,69,54.0,67.0,1
155,89,65.0,75,88,83,80,84.0,69.0,0
156,86,64.0,81,83,79,67,78.0,81.0,0
157,62,56.0,66,83,78,77,79.0,64.0,1
158,62,55.0,73,72,68,73,68.0,64.0,1
159,76,71.0,85,83,66,76,61.0,69.0,0
160,76,42.0,60,80,63,60,62.0,73.0,1
161,61,60.0,78,68,63,64,67.0,69.0,1
162,78,60.0,30,62,69,63,60.0,77.0,1
163,80,78.0,91,86,77,83,73.0,64.0,0
164,79,70.0,94,78,73,83,84.0,64.0,0
165,75,68.0,95,71,66,60,75.0,73.0,0
166,62,61.0,64,71,76,67,83.0,73.0,1
167,61,39.0,36,72,48,36,46.0,69.0,1
168,73,71.0,67,74,62,75,67.0,61.0,1
169,84,80.0,71,86,83,81,88.0,71.0,0
170,86,85.0,83,87,80,82,86.0,78.0,0
171,79,67.0,69,64,67,79,67.0,74.0,1
172,69,63.0,61,71,71,84,77.0,74.0,1
173,79,74.0,81,72,73,77,74.0,76.0,0
174,75,85.0,67,76,75,92,87.0,79.0,0
175,62,78.0,77,73,80,82,75.0,75.0,0
176,98,66.0,89,64,71,77,88.0,62.0,0
177,76,56.0,60,86,92,80,90.0,71.0,0
178,76,61.0,92,72,89,87,84.0,76.0,0
179,78,62.0,84,60,84,87,77.0,79.0,0
180,68,63.0,65,62,80,86,87.0,70.0,0
181,70,62.0,86,75,86,79,86.0,76.0,0
182,73,63.0,65,64,86,77,78.0,78.0,0
183,78,80.0,93,69,78,85,84.0,84.0,0
184,82,67.0,76,61,91,81,87.0,81.0,0
185,78,69.0,78,62,76,81,71.0,71.0,0
186,82,77.0,76,60,90,84,90.0,76.0,0
187,69,74.0,62,71,87,83,70.0,80.0,0
188,72,73.0,81,64,79,76,72.0,84.0,0
189,80,75.0,82,74,84,83,90.0,77.0,0
190,75,68.0,73,73,73,71,78.0,60.0,0
191,91,85.0,80,68,95,92,82.0,80.0,0
192,69,71.0,63,68,66,82,62.0,63.0,1
193,76,92.0,75,73,86,92,67.0,66.0,0
194,70,82.0,72,61,82,85,68.0,71.0,0
195,69,68.0,0,68,71,74,70.0,72.0,1
196,77,68.0,71,81,82,90,64.0,75.0,0
197,80,85.0,75,74,84,87,85.0,75.0,0
198,77,77.0,68,89,90,97,80.0,75.0,0
199,74,80.0,80,85,80,88,64.0,79.0,0
200,73,75.0,80,73,93,94,84.0,79.0,0
201,70,78.0,72,65,72,92,60.0,69.0,0
202,66,79.0,61,62,71,67,0.0,62.0,1
203,70,69.0,75,60,86,74,85.0,71.0,0
204,78,80.0,86,65,94,86,89.0,86.0,0
205,69,62.0,60,61,61,63,64.0,62.0,1
206,80,80.0,95,76,90,87,89.0,75.0,0
207,75,67.0,77,81,73,78,63.0,76.0,0
208,79,75.0,92,68,87,87,91.0,84.0,0
209,73,70.0,91,63,70,79,74.0,77.0,0
210,70,68.0,78,60,71,73,84.0,69.0,0
211,68,90.0,77,62,74,87,69.0,78.0,0
212,60,77.0,89,73,61,86,85.0,70.0,0
213,78,87.0,97,77,86,90,88.0,65.0,0
214,55,72.0,70,66,80,91,69.0,85.0,0
215,72,62.0,60,71,63,66,66.0,84.0,1
216,59,63.0,62,72,72,68,75.0,67.0,1
217,78,75.0,64,78,60,70,46.0,66.0,1
218,67,84.0,64,77,72,82,72.0,71.0,0
219,73,64.0,76,72,78,78,76.0,73.0,0
220,82,71.0,66,76,82,85,79.0,70.0,0
221,73,79.0,81,76,75,86,92.0,68.0,0
222,77,78.0,70,72,68,91,76.0,64.0,0
223,69,68.0,45,73,54,68,44.0,52.0,1
224,65,87.0,60,76,71,83,62.0,60.0,1
225,73,90.0,76,80,80,78,72.0,62.0,0
226,58,65.0,79,71,69,62,70.0,52.0,1
227,60,65.0,66,69,61,73,77.0,68.0,1
228,62,64.0,72,73,71,67,69.0,64.0,1
229,60,69.0,60,72,55,74,48.0,70.0,1
230,73,71.0,85,79,79,80,86.0,64.0,0
231,52,61.0,68,68,58,81,44.0,64.0,1
232,56,68.0,62,73,55,74,78.0,60.0,1
233,64,61.0,73,72,69,70,73.0,70.0,1
234,69,76.0,0,80,59,80,50.0,66.0,1
235,94,91.0,85,80,86,87,80.0,71.0,0
236,60,82.0,67,72,73,74,46.0,62.0,1
237,64,88.0,57,79,65,78,64.0,67.0,1
238,84,73.0,71,83,91,89,82.0,73.0,0
239,83,94.0,89,61,83,88,85.0,61.0,0
240,84,85.0,68,82,78,91,60.0,80.0,0
241,81,89.0,84,84,79,89,92.0,75.0,0
242,69,89.0,60,83,88,85,78.0,72.0,0
243,81,74.0,74,72,78,86,79.0,76.0,0
244,76,68.0,80,76,55,84,65.0,71.0,0
245,66,84.0,60,70,68,82,79.0,68.0,0
246,74,87.0,61,71,70,83,65.0,61.0,1
247,85,79.0,71,80,92,88,75.0,70.0,0
248,62,84.0,77,81,60,93,85.0,60.0,0
249,43,60.0,51,55,62,82,65.0,60.0,1
250,78,87.0,85,71,92,86,92.0,63.0,0
251,76,72.0,62,70,60,79,72.0,70.0,1
252,79,86.0,36,71,78,86,83.0,73.0,0
253,78,90.0,61,82,80,92,69.0,63.0,0
254,66,66.0,47,68,63,69,66.0,72.0,1
255,83,89.0,66,76,79,90,64.0,67.0,0
256,80,76.0,48,77,73,84,72.0,71.0,0
257,90,85.0,77,80,91,91,80.0,83.0,0
258,69,89.0,65,75,83,91,67.0,65.0,0
259,66,68.0,49,71,66,79,52.0,48.0,1
260,73,72.0,64,70,73,78,87.0,65.0,0
261,76,70.0,52,78,71,81,69.0,67.0,1
262,66,66.0,54,67,76,84,72.0,61.0,1
263,78,85.0,62,73,83,88,64.0,62.0,0
264,87,86.0,81,78,73,86,76.0,76.0,0
265,74,96.0,69,63,91,91,68.0,72.0,0
266,68,86.0,79,73,79,86,86.0,70.0,0
267,74,70.0,63,74,78,81,83.0,65.0,0
268,75,71.0,51,74,64,81,69.0,60.0,1
269,69,79.0,61,78,80,83,66.0,60.0,0
270,64,61.0,73,83,75,84,63.0,68.0,1
271,64,63.0,47,70,60,78,80.0,50.0,1
272,57,61.0,47,74,75,73,83.0,66.0,1
273,64,61.0,70,72,61,87,90.0,60.0,0
274,80,94.0,77,80,90,91,78.0,70.0,0
275,79,83.0,60,69,84,88,66.0,61.0,0
276,89,91.0,84,68,82,89,71.0,73.0,0
277,86,77.0,62,76,71,88,71.0,70.0,0
278,83,92.0,68,81,93,90,80.0,68.0,0
279,85,87.0,73,77,84,91,68.0,76.0,0
280,55,91.0,60,71,80,82,61.0,61.0,1
281,89,93.0,61,75,82,92,73.0,74.0,0
282,77,89.0,49,77,71,82,72.0,80.0,0
283,84,78.0,70,78,92,85,62.0,84.0,0
284,40,46.0,45,84,62,63,63.0,68.0,1
285,45,52.0,66,84,73,90,83.0,63.0,1
286,40,51.0,70,79,63,67,75.0,68.0,1
287,62,66.0,22,67,60,60,75.0,61.0,1
288,49,80.0,71,79,77,85,91.0,75.0,0
289,73,89.0,61,72,76,79,87.0,78.0,0
290,69,90.0,66,82,76,86,86.0,78.0,0
291,65,84.0,73,86,72,81,84.0,74.0,0
292,79,75.0,76,78,78,90,89.0,82.0,0
293,76,81.0,98,79,83,96,93.0,77.0,0
294,79,91.0,60,84,80,90,91.0,76.0,0
295,90,89.0,94,80,89,94,96.0,80.0,0
296,75,73.0,75,60,75,97,93.0,75.0,0
297,84,90.0,90,83,76,87,92.0,82.0,0
298,84,84.0,91,86,76,91,83.0,88.0,0
299,61,56.0,45,73,64,80,80.0,73.0,1
300,75,62.0,67,81,60,76,78.0,68.0,1
301,68,72.0,61,74,71,68,87.0,77.0,0
302,32,38.0,60,83,61,67,86.0,65.0,1
303,76,79.0,66,61,62,62,81.0,62.0,1
304,63,74.0,60,73,77,81,87.0,69.0,0
305,67,79.0,88,87,79,88,85.0,79.0,0
306,46,67.0,87,61,68,81,85.0,70.0,0
307,69,82.0,77,88,79,87,87.0,83.0,0
308,76,80.0,86,86,80,85,89.0,83.0,0
309,66,84.0,61,79,82,78,89.0,74.0,0
310,79,75.0,94,82,76,95,91.0,82.0,0
311,81,88.0,91,86,85,89,92.0,79.0,0
312,62,75.0,60,79,84,86,87.0,76.0,0
313,61,81.0,36,74,68,88,76.0,66.0,1
314,82,75.0,72,88,76,78,89.0,81.0,0
315,67,81.0,33,68,83,67,82.0,79.0,1
316,82,90.0,100,91,89,92,88.0,80.0,0
317,62,46.0,60,64,55,61,89.0,69.0,1
318,73,67.0,74,70,73,80,86.0,69.0,0
319,83,77.0,75,67,72,78,80.0,68.0,0
320,83,85.0,89,83,79,85,93.0,82.0,0
321,72,62.0,62,50,43,68,72.0,75.0,1
322,77,75.0,83,82,69,85,65.0,78.0,0
323,41,70.0,75,63,45,66,61.0,77.0,1
324,46,54.0,97,85,34,64,84.0,68.0,1
325,72,82.0,83,88,64,97,84.0,84.0,0
326,74,78.0,92,81,72,95,92.0,81.0,0
327,78,87.0,87,83,69,81,68.0,78.0,0
328,79,94.0,67,84,80,96,88.0,86.0,0
329,67,73.0,86,49,47,73,80.0,70.0,1
330,65,61.0,77,0,52,32,82.0,71.0,1
331,78,72.0,96,74,66,86,91.0,76.0,0
332,60,44.0,74,66,46,72,72.0,76.0,1
333,61,62.0,76,61,54,87,48.0,67.0,1
334,66,78.0,94,75,68,83,86.0,80.0,0
335,60,60.0,68,86,51,92,61.0,73.0,1
336,49,54.0,62,83,47,81,39.0,61.0,1
337,61,82.0,67,80,65,88,83.0,84.0,0
338,60,60.0,67,80,60,74,80.0,75.0,1
339,62,62.0,60,66,50,66,67.0,61.0,1
340,66,94.0,80,77,72,91,60.0,80.0,0
341,67,63.0,60,72,60,97,84.0,61.0,1
342,66,84.0,70,75,60,83,86.0,77.0,0
343,67,64.0,68,63,62,77,70.0,68.0,1
344,70,77.0,48,90,50,82,67.0,71.0,1
345,60,71.0,70,46,72,64,75.0,80.0,1
346,65,82.0,68,81,57,87,82.0,70.0,0
347,52,71.0,70,62,43,83,77.0,74.0,1
348,78,84.0,61,90,73,80,77.0,80.0,0
349,86,86.0,73,85,81,85,90.0,78.0,0
350,85,89.0,95,90,82,94,87.0,84.0,0
351,72,73.0,70,77,66,81,77.0,75.0,0
352,77,85.0,61,86,72,93,94.0,74.0,0
353,77,81.0,87,80,62,93,94.0,77.0,0
354,77,78.0,74,90,73,89,83.0,76.0,0
355,86,90.0,96,92,85,92,93.0,88.0,0
356,76,82.0,72,84,72,76,90.0,75.0,0
357,87,66.0,60,77,73,74,60.0,66.0,1
358,67,80.0,85,82,64,88,80.0,84.0,0
359,80,86.0,85,78,74,80,89.0,77.0,0
360,84,87.0,85,81,79,87,94.0,87.0,0
361,65,75.0,87,75,75,86,92.0,83.0,0
362,73,79.0,67,75,66,92,85.0,80.0,0
363,70,70.0,62,85,70,89,93.0,69.0,0
364,65,61.0,65,87,85,63,85.0,89.0,0
365,90,74.0,90,85,76,72,67.0,90.0,0
366,30,69.0,60,92,90,65,72.0,85.0,1
367,80,80.0,61,82,76,77,78.0,65.0,0
368,68,69.0,75,89,76,77,73.0,83.0,0
369,53,70.0,0,79,75,81,75.0,71.0,1
370,61,77.0,0,73,69,72,60.0,79.0,1
371,60,70.0,67,92,72,74,80.0,78.0,0
372,60,64.0,60,87,72,70,60.0,75.0,1
373,62,62.0,38,97,77,72,78.0,73.0,1
374,76,89.0,70,95,80,91,85.0,72.0,0
375,38,51.0,34,90,66,61,50.0,60.0,1
376,73,77.0,73,93,83,77,59.0,74.0,0
377,75,77.0,62,84,71,81,76.0,81.0,0
378,73,76.0,65,87,74,84,79.0,81.0,0
379,54,85.0,89,91,86,89,75.0,83.0,0
380,60,80.0,76,87,73,86,58.0,64.0,0
381,50,72.0,63,87,68,78,57.0,73.0,1
382,76,73.0,75,87,78,64,85.0,71.0,0
383,51,61.0,76,98,71,62,76.0,61.0,1
384,71,48.0,75,79,75,78,61.0,63.0,1
385,56,82.0,86,94,92,84,84.0,70.0,0
386,60,88.0,95,86,80,91,87.0,73.0,0
387,66,83.0,78,94,72,88,83.0,63.0,0
388,85,85.0,88,92,78,89,84.0,81.0,0
389,64,77.0,95,95,73,76,73.0,61.0,0
390,76,75.0,63,75,73,91,51.0,65.0,1
391,85,73.0,96,50,85,84,76.0,69.0,0
392,68,60.0,63,44,60,76,50.0,49.0,1
393,63,85.0,100,77,71,77,62.0,78.0,0
394,35,66.0,66,96,75,88,99.0,52.0,0
395,53,50.0,78,54,68,54,63.0,88.0,1
396,75,75.0,63,52,66,52,39.0,71.0,1
397,79,75.0,70,51,80,51,47.0,78.0,1
398,73,85.0,60,61,63,61,67.0,71.0,1
399,37,75.0,75,62,66,62,60.0,74.0,1
400,74,85.0,75,60,68,60,67.0,81.0,1
401,35,75.0,66,54,69,54,70.0,74.0,1
402,60,75.0,79,57,72,57,74.0,77.0,1
403,76,75.0,65,47,69,47,72.0,76.0,1
404,70,85.0,62,64,65,64,61.0,56.0,1
405,81,90.0,85,72,70,72,74.0,85.0,0
406,85,85.0,73,55,72,55,73.0,84.0,0
407,75,85.0,72,65,70,65,62.0,68.0,1
408,61,88.0,63,66,74,66,73.0,67.0,1
409,65,87.0,57,87,73,99,98.0,74.0,0
410,53,65.0,79,67,65,67,66.0,68.0,1
411,61,50.0,61,64,68,64,46.0,72.0,1
412,71,75.0,48,75,61,75,71.0,74.0,1
413,77,85.0,70,52,78,52,62.0,75.0,1
414,81,85.0,73,66,60,66,71.0,74.0,0
415,73,85.0,76,65,68,65,50.0,71.0,1
416,76,85.0,76,58,62,58,65.0,74.0,1
417,69,90.0,87,71,80,71,84.0,76.0,0
418,70,85.0,74,68,70,68,66.0,71.0,1
419,80,75.0,69,56,61,56,69.0,74.0,1
420,63,69.0,61,72,64,72,56.0,83.0,1
421,71,85.0,68,78,68,78,71.0,71.0,0
422,47,75.0,62,55,60,55,66.0,76.0,1
423,47,75.0,71,53,68,53,63.0,78.0,1
424,79,75.0,83,66,83,66,45.0,77.0,1
425,54,75.0,63,46,68,46,65.0,78.0,1
426,68,75.0,76,49,82,49,55.0,77.0,1
427,50,65.0,74,47,63,47,60.0,74.0,1
428,64,65.0,66,47,71,47,64.0,87.0,1
429,64,85.0,75,71,73,71,61.0,80.0,0
430,47,75.0,68,66,68,66,49.0,60.0,1
431,69,85.0,87,83,63,83,83.0,87.0,0
432,66,85.0,64,66,62,66,72.0,63.0,1
433,66,85.0,76,77,100,77,62.0,89.0,0
434,83,85.0,71,78,99,78,76.0,82.0,0
435,71,75.0,68,67,98,67,72.0,66.0,0
436,49,65.0,51,100,71,58,36.0,79.0,1
437,75,85.0,81,77,66,77,72.0,79.0,0
438,65,48.0,88,72,60,68,67.0,72.0,1
439,75,79.0,89,83,80,90,61.0,92.0,0
440,63,70.0,41,73,59,61,55.0,69.0,1
441,70,77.0,40,73,64,72,64.0,85.0,1
442,68,85.0,61,85,72,71,66.0,78.0,0
443,79,94.0,64,95,61,70,66.0,90.0,0
444,76,86.0,71,72,67,75,64.0,79.0,0
445,76,80.0,68,79,71,80,62.0,85.0,0
446,63,69.0,62,86,67,74,66.0,78.0,1
447,65,66.0,77,83,81,86,66.0,76.0,0
448,45,63.0,81,93,50,64,77.0,80.0,1
449,76,80.0,71,79,78,73,60.0,82.0,0
450,73,62.0,88,73,64,73,62.0,61.0,1
451,75,72.0,71,76,75,72,54.0,90.0,0
452,69,76.0,65,82,71,83,78.0,80.0,0
453,73,72.0,71,97,83,81,71.0,85.0,0
454,75,78.0,61,89,77,78,86.0,87.0,0
455,75,82.0,71,80,83,88,72.0,83.0,0
456,66,69.0,98,80,77,79,67.0,73.0,0
457,76,73.0,78,96,74,73,56.0,81.0,0
458,75,77.0,80,92,71,79,72.0,74.0,0
459,68,74.0,87,90,72,75,61.0,74.0,0
460,75,77.0,85,86,71,87,46.0,80.0,0
461,65,66.0,73,85,46,71,35.0,78.0,1
462,76,89.0,62,97,67,75,65.0,84.0,0
463,76,87.0,81,86,71,83,73.0,87.0,0
464,45,70.0,62,85,62,66,61.0,47.0,1
465,78,87.0,72,91,81,79,92.0,74.0,0
466,81,87.0,88,94,97,98,88.0,92.0,0
467,73,74.0,97,90,81,84,78.0,87.0,0
468,71,87.0,96,87,90,71,80.0,82.0,0
469,64,76.0,78,81,71,70,71.0,77.0,0
470,84,75.0,64,100,72,83,73.0,84.0,0
471,75,80.0,78,95,85,83,71.0,85.0,0
472,83,86.0,70,98,81,86,69.0,86.0,0
473,75,85.0,90,100,85,79,58.0,85.0,0
474,61,88.0,88,97,61,85,60.0,74.0,0
475,61,79.0,65,75,0,0,71.0,63.0,1
476,71,77.0,48,82,62,70,78.0,77.0,1
477,75,66.0,39,74,77,81,61.0,69.0,1
478,65,72.0,86,71,72,73,74.5,70.0,0
479,63,82.0,88,79,72,82,51.0,69.0,0
480,63,65.0,39,68,81,82,42.0,64.0,1
481,61,63.0,64,93,62,64,61.0,73.0,1
482,29,74.0,77,77,60,61,72.0,78.0,1
483,75,69.0,65,77,78,61,68.0,63.0,1
484,47,63.0,66,79,74,62,64.0,67.0,1
485,63,61.0,73,87,71,70,61.0,66.0,1
486,66,80.0,79,83,75,72,69.0,73.0,0
487,61,70.0,60,89,65,75,79.0,75.0,1
488,68,70.0,75,86,71,78,78.0,61.0,0
489,62,93.0,73,83,67,72,57.0,94.0,0
490,77,65.0,77,83,68,70,72.0,86.0,0
491,68,72.0,77,98,60,75,55.0,75.0,1
492,70,86.0,54,97,61,80,71.0,83.0,0
493,81,50.0,62,82,74,85,49.0,64.0,1
494,61,63.0,86,83,54,61,54.0,64.0,1
495,67,72.0,68,89,71,46,74.0,76.0,1
496,83,63.0,69,75,72,74,68.0,79.0,0
